content	label
I'd like to find out more about expensive restaurants in the city centre.	area
I want to eat at an expensive gastropub restaurant	not
I need a list of cheap places to stay that include free parking.	not
I want something that's moderately priced. Any type of food.	not
I am looking for a cheap restaurant.	not
I'm looking to get some info about a hotel called Home from Home	not
I am looking for a restaurant in the centre of town.	area
Hi, I need a hotel on the west side, please.	area
I'm looking for an expensive restaurant in the center of town.	area
Hey, I need a place to stay with free wifi and free parking.	not
I am looking for a certain hotel. Could you see if you might have any info on it?	not
I am looking for a place to stay	not
Can you help me find a cheap restaurant in the centre?	area
I would like a restaurant in the centre and in the moderate price range.	area
Hi! Can you give me some information on the Royal Spice restaurant?	not
Hi, I could use help with my planning. I am trying to find a place to stay.	not
Hello, I am looking for a restaurant that serves Portuguese food.	not
I am looking for a place to stay. The hotel should be in the type of guesthouse and doesn't need to include internet	not
I am looking for Warkworth House hotel. Any information on it?	not
Hi, I need a place to stay with free wifi and in a moderate price range.	not
I am looking for a hotel in Cambridge.	not
Can you give me some information on the Avalon Hotel?	not
Looking for a restaurant on the South part of town?	area
I am looking for a French restaurant.	not
I'm looking for an expensive restaurant in the center of town.	area
I'm looking for a cheap portuguese restaurant	not
I'm looking for some cheap Chinese food. Got any restaurants that fit the bill?	not
I'm looking for an indonesian restaurant that's moderate in price.	not
I'm in the mood for some modern eclectic food so please find me a cheap restaurant that sells some	not
Yes, I am looking forward to trying some local restaurants when I am there. Can you help me find a place to dine?	not
I'm looking for an inexpensive African restaurant.	not
I am looking for the Limehouse hotel.	not
i am looking for a particular restaurant. Its name is called restaurant two two.	not
Hi, I'm going to be visiting soon, and I am interested in trying a restaruant called Curry Prince. Could you give me more information about it?	not
I need a cheap place to stay, what would you recommend?	not
Howdy, it would help me a great deal if you could please get me some information about the alexander bed and breakfast	not
I need to find a place to eat in Centre please.	area
Is there a cheap restaurant serving belgian food?	not
Can you find me a moderately priced chinese restaurant please	not
I would like a restaurant in any area that serves scandinavian food	area
Hello, I am looking for a place to dine. I'd prefer it to be moderately priced and serve Indian food.	not
Can you help me find somewhere to stay with free wifi?	not
Hello, I'd like some information on a restaurant in the centre.	area
Would you be able to suggest a steakhouse restaurant in Cambridge?	not
Hi, I'm looking for a guesthouse. Do you know of any 4-star properties?	not
I need a place to stay in the north that includes free parking. What options are available?	area
I need a cheap, 2 star hotel to stay at here in Cambridge	not
I'm looking for a moderate priced place to dine serving modern european food.	not
I need to find a moderately priced restaurant in the east part of town.	area
I'm looking for a place to stay. I'd like a hotel, not a guesthouse, and I don't care about internet.	not
I am looking for information on The Varsity restaurant.	not
Yes I am looking for information on Michael House cafe.	not
I want to find a restaurant in the centre part of town and serves british food.	area
Hi there, I'm hoping you can help me find a hotel in the south of Cambridge.	area
I am looking for a cheap hotel that includes free parking.	not
I would like a moderately priced restaurant in the west part of town	area
Can you assist me with finding a moderately priced restaurant?	not
I need the address of a restaurant that serves gastropub food.	not
I'm looking for a cheap hotel in the north.	area
I'm looking for a restaurant that's on the pricier end, I want to impress some people. Is there something you'd recommend?	not
I wanted to find out about local restaurants in Cambridge.	not
Hello. I'm trying to find a restaurant that serves Swiss food. Can you recommend anything to me?	not
I want to dine at an expensive asian oriental food restaurant.	not
I am looking for a moderately priced restaurant in the north part of town. I would also like the address and phone number.	area
I need some lodging accommodations. It needs to have free parking and Internet please!	not
Is there a restaurant called Cocum?	not
I am looking for a guesthouse that has free parking.	not
I need a place to stay that doesn't have to have internet and is in the expensive price range please.	not
Can you find a 4 star hotel in the north side?	area
Yes, I'm looking for a Cuban restaurant in the Centre.	area
I am looking for a place to eat that's expensive and serves Belgian food.	not
I need a moderately priced guest house.	not
I'm looking for a restaurant in the centre serving modern european food.	area
I'm looking for an expensive restaurant in the west.	area
Hi, can you point me to an expensive restaurant that serves Italian food? I will be in the area soon.	not
I am looking for a place to stay with 4 stars.	not
Hi, I'm looking for a 4-star hotel with free wifi.	not
i need a place to stay	not
I need a place to stay that is cheap.	not
I'm looking for a hotel called hamilton lodge.	not
I need to place to eat, say, in the center of the town with some creative food.	area
I'm looking for a moderately priced guest house. Can you recommend one?	not
I sure hope so. A friend recommended the Alexander Bed and Breakfast. What can you tell me about it?	not
I'm so hungry! Can you find me a really great modern european restaurant? Money is no object!	not
I want to find a place to stay that is a guesthouse and has free parking.	not
Hi, I'm looking for a 1 star place to stay with free wifi.	not
I'd like a restaurant in the north part of town that is in the medium price range.	area
I am looking for an upscale Chinese food restaurant in Cambridge; can you make a recommendation?	not
I'm looking for a restaurant in the west side that's in the moderate price range.	area
Cheap restaurant in the north. address and phone number, please.	area
Can you find me a hotel in the northern area that isn't to cheap or expensive?	area
Can you find me a guest house?	not
I am looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking	not
Could you help me find a place to stay? I need a place in town that offers free parking and free wifi.	area
I want to find a German restaurant please that's in the cheap price range.	not
I am looking for a restaurant that is expensive and in the west	area
We would like to eat some Japanese food while we are visiting.	not
What is good in the south part of town	area
I'm looking for asian oriental food in expensive range.	not
I am looking for a restaurant in the expensive price range. It should serve Sri Lankan food.	not
I am looking for a restaurant in the south part of town that serves Jamaican food.	area
I want a cheap restaurant in the west part of town. what is the address and phone number?	area
Hi. I'm looking for some moderately priced rooms for the night in the centre of town. Where can I go for that?	area
I am looking for a guesthouse that has free parking.	not
I want to find a restaurant in the north part of town and serves international food.	area
I want a place to eat in the west.	area
Please find me a corsica restaurant.	not
I am looking for a hotel that is in the expensive price range.	not
I'm looking for a hotel called the a and b guest house. Can you help me out?	not
I would like a restaurant in the north part of town that serves korean food	area
I'm looking for this restaurant called city stop restaurant	not
I need a place to stay and I want it to be a guesthouse.	not
I'm looking for a moderately priced guesthouse for the night.	not
Can you help me find a place to stay that is moderately priced and includes free wifi?	not
I'm looking for a pleasant guesthouse to stay in. Would you be able to help me find one?	not
I am looking for a 3 star hotel to stay in.	not
I am looking for a place to stay that has free wifi.	not
I'm looking for a 2 star hotel in the north.	area
I want to find out if there are any places to dine that serve Australian food in the centre.	area
Are there good hotels that you can book?	not
I am looking for a hotel call arbury lodge guesthouse.	not
Are there any British restaurant that serve moderate priced food?	not
Yes, hopefully you can help with some information on a particular hotel?	not
Hello, I am looking for an expensive restaurant that serves vegetarian food.	not
I'm looking for a place to stay, I would prefer a hotel in the expensive price range.	not
Where do I get info on hotels?	not
I am looking for a restaurant in the west part of town.	area
Can you tell me about any german restaurants in the east part of the city?	area
Hi, I am looking for information on a place to stay.	not
I am looking for the gonville hotel. Can you help me?	not
I am looking for a restaurant.	not
Hi, I am looking for a restaurant that is expensive and serves European food.	not
Can you find a room available at a 4 star hotel with free wi-fi?	not
I will be going to Cambridge to do the tourist thing and would like a hotel in the moderate price range.	not
I would like to dine at a restaurant serving Indian food on the east side of town. Any suggestions?	area
I need help finding a place to eat that is moderately priced and located in the east.	area
I'm looking for a place called maharajah tandoori restaurant. Do you know it? It's a restaurant.	not
I'm looking for a restaurant in the centre of town and it needs to be in the expensive price range.	area
I am looking for a hotel with free parking in the North.	area
I am searching for a guesthouse in town that has free parking, do you know of any?	not
Hi, can you help me find a place to stay? I'd like a hotel on the north side, please.	area
I am looking for a moderately priced restaurant.	not
I am looking for a German restaurant in the west part of town.	area
I'm looking for a guesthouse that includes free parking.	not
I'm looking for a restaurant in west part of town with cheap food.	area
Hi, can you help me find a place to stay on the north side?	area
Yeah, my wife and kids are demanding Spanish food. Can we keep it on the cheap side, please?	not
I'm needing a place to dine. It needs to be an expensive Brazilian place.	not
I am looking for a restaurant in the south part of town that is in the cheap price range.	area
I'm hoping to find a restaurant in the centre that serves British food.	area
I am looking for a place to stay. Can you help me out?	not
I'm looking for a 3-star lodging with free wifi.	not
I am looking for a restaurant with vegetarian food.	not
Hi there, I've just started planning my trip. Can you help me find a restaurant?	not
I need a 5 star luxury hotel with a jacuzzi.	not
Is there a modern European restaurant in the north?	area
Can you find a restaurant called Rajmahal.	not
I'd like to find a moderately priced hotel with free wifi.	not
Can you find a place in town that serves Polynesian food?	not
Can you tell me about a nice guest house in your city? I don't care how much it costs.	not
AM looking for a place to dine. The restaurant should be in the south and should serve gastropod food.	area
Can you tell me about any expensive restaurants in the Centre?	area
Can you help me find an expensive restaurant in the west?	area
I'm looking for a chinese restaurant in city centre.	area
I am looking for a restaurant in the west part of town	area
I am looking for a cheap restaurant that is in the north part of town.	area
Can you help me find a guesthouse with free parking?	not
I am looking for a restaurant that serves indian food in the west.	area
Hello, are there any moderate turkish restaurants in town?	not
is there a portuguese food restaurant?	not
Great. You can help me pick out a restaurant go to.	not
You can help me by finding me an expensive restaurant in the centre	area
I need help finding a place to stay in the east.	area
Hi, I would like to book a 4 star guesthouse in Cambridge	not
I am looking for a moderately priced restaurant in the east part of town.	area
Hello, I need a place to eat in the center of town.	area
I would like to find a French restaurant, please.	not
I am looking for a hotel called The Cambridge Belfry. Can you help me with this?	not
I would like a restaurant in the west part of town	area
Hi! I'd like to find a seafood restaurant in the centre of town, please.	area
Hey, I'd like to find a hotel in the north, today.	area
Can you locate an expensive restaurant in the south?	area
Hello I am looking for a restaurant that serves Italian food and I need it to be cheap.	not
I would like to find a restaurant in any area and it should serve lebanese food.	area
I'm looking for something moderately priced in the west part of town, could you get me the number and full address please?	area
I am looking for a place to stay. in the west	area
Hi. I'll be traveling to there and can't wait to try the restaurants there. Could you help me find a place?	not
I am looking for a Thai restaurant - any area will do.	area
I need to find information on home from home.	not
Can you help me find a moderately priced Indian restaurant?	not
Hello! I'm looking for the hotel called Cityroomz. Can you give me some information, please?	not
Hey, is there any good italian food on the eastside?	area
Please help me find an expensive restaurant that serves Chinese food. Thank you.	not
Hi, I could use some help with information on places to stay.	not
I am looking for a room and want to see if I can find somewhere that has 3 stars. Can I get some help with that?	not
I would like a restaurant in the centre of town that serves caribbean food	area
Can you help me with finding a hotel today, please?	not
I'm looking for an expensive Chinese restaurant.	not
I am looking for a place to stay. The hotel should be in the east and should include free wifi	area
I am looking for the address and price range of a restaurant serving chinese food in the south part of town.	area
I need a hotel with free parking, thanks!	not
Yes, could you please tell me about the Alpha-Milton guest house?	not
Are there any moderately priced hotels that have free parking, or do they all charge extra for that?	not
HI, I am looking for a cheap place in the centre of town to eat. Can you help?	area
Hi! I'm searching for a Panasian restaurant in the south part of town.	area
Could you help me find a 3 star guesthouse?	not
Hi, I'm looking for a cheap restaurant.	not
I need a guesthouse, with parking that is free.	not
I am looking for hotel with a star five rating and free wifi	not
I am looking for pasquale pizzeria.	not
I would like to try an expensive, italian place while visiting cambridge.	not
I am looking for a place to dine. I would like european food in the expensive price range.	not
I want to eat someplace with unusual food. Price is no object. What can you suggest?	not
I am looking for a place to stay.	not
I am looking to get some information on the acorn guest house.	not
Need a cheap place to eat at at the centre.	area
Howdy! I'm craving some cheap Italian food, you got any place like that?	not
I'm looking for a 2 star hotel.	not
I am looking for a restaurant that serves mediterranean food.	not
I am looking for an Italian restaurant in the east.	area
I'm looking for a hotel with free parking, Please give me a 3 star guesthouse hotel	not
Could you help me find a place to stay on my upcoming trip?	not
Hi. I need to book a guesthouse that has free parking, can you help me?	not
Hi. I'm trying to find a restaurant that serves Welsh food. Can you help me?	not
Hello, I'm looking for a cheap place to stay with 4 stars.	not
Hi. Could you help me find a hotel for my trip?	not
I need a place to stay. Find me a hotel with free wifi.	not
I am looking for a 4 star hotel with free wifi.	not
I'm looking for a restaurant that serves Indian food located in the centre.	area
I'm looking for an expensive guesthouse to say at.	not
Are there any Mexican restaurants in the centre?	area
I need a place to eat that is cheap.	not
I need to find a 4 star rated place to stay with free parking.	not
Hello, I'm trying to find an expensive asian oriental restaurant. Can you help me find one?	not
I'm looking for a Belgian food restaurant in the centre. Can you help me?	area
Hello! Can you please recommend a 3-star hotel?	not
Yes, I'm looking to stay at a guesthouse while I'm in town. I don't need internet access, so don't worry about that.	not
I am looking for a cheap gastropub restaurant in the centre of town	area
I need a place to stay in the east that has free wifi available.	area
I want to find a place to dine located in the north and moderately priced.	area
Yes, I am looking for cheap lodging in town that includes free wifi.	not
Can you tell me if there are any european restaurants in the center of town?	area
Hi. I'm looking for a place to spend the night, and I want somewhere without any hidden fees for parking or wifi.	not
I am visiting and need a hotel in the north	area
Hello. I'm looking for a cheap restaurant in the east part of town.	area
Would you be able to help me locate a restaurant in Cambridge?	not
Hi, I'm looking to book the Hamilton Lodge in Cambridge	not
Can you help me find a restaurant called graffiti please?	not
I'm looking for a 4 star hotel.	not
I'm looking for a hotel that includes free wifi.	not
I need a place to dine on expensive crossover food.	not
I'm hoping to find a cheap restaurant in the centre.	area
i need a place to stay	not
Hi, I'd like to find out more about any luxury hotels that have at least a 3-star rating.	not
Do you have any recommendations for a restaurant in the south area in a high price range?	area
I am looking for a cheap restaurant in the south part of town.	area
I'm looking for a place to stay that includes free wifi and parking.	not
Hello, what expensive restaurants do you know of in the East part of town?	area
I need to find out information about a particular hotel called warkworth house	not
I need a place to stay in Cambridge. It should be either a hotel or guesthouse with 1 star and moderate price range. Can you help me with that?	not
I am looking for a restaurant. The restaurant should be in the south and should be in the cheap price range	area
Hello, I need help finding a moderate priced restaurant in the centre of town.	area
I'm looking for a restaurant called Thanh Binh. Can you help me find it?	not
I'm looking for unusual food in the south part of town.	area
Hello, i'm looking for a restaurant called river bar steakhouse and grill.	not
I'd like some information on the Hamilton Lodge hotel, please.	not
Could you find me a welsh restaurant in the cheap price range ?	not
I am looking for a chinese restaurant. I want a place that is expensive and classy.	not
I need to book a restaurant.	not
I am looking for a restaurant called Charlie Chan	not
I'm taking a trip in cambridge and need a place to stay. I would like a 4 star in the moderate price range.	not
I am looking for a 3 star hotel in the centre of town	area
Hello, I'd like to get some info one a hotel please.	not
What is that european food place's address?	not
I need a place to eat that is expensive.	not
I am looking for a guesthouse to stay at in the moderate price range.	not
Are there any expensive places to dine in the West?	area
I'm looking for a moderately priced restaurant in the north part of town. I would like to know the type of food, address and phone number.	area
I want to find an expensive restaurant in the north.	area
Can you help me look up a particular hotel that I have in mind?	not
Looking for someone that serves Australasian food?	not
Do you know of any cheap indian restaurants?	not
Can you help me find a nice hotel? I'd like to stay somewhere on the west side of town. A 0 star rating would be great, too.	area
Looking for place to eat in the south	area
Hello I need a place to stay in the centre please.	area
I'm looking for an English restaurant that's moderately priced..	not
I'm looking for a chinese restaurant in the center of town.	area
I am looking for some information on rosas's bed and breakfast.	not
i need a hotel with wifi in the north part of town	area
I'm looking for information on a hotel called hamilton lodge.	not
I'm in the east part of town, and I'd like to find a nearby Scandinavian restaurant.	area
Hello, I'm looking for a hotel to stay in during my visit to Cambridge. Can you please help me find something in the moderate price range? No specific amenities needed.	not
I am looking for an expensive restaurant that serves Portuguese food. Please also provide the phone number.	not
Yes I would like information on the Cambridge Belfry.	not
I sure hope so. I'd like to find a place to stay, with four stars, in the north.	area
Could you help me find a restaurant that's moderately priced, and services sri lankan cuisine?	not
I need help finding a place to dine that is very expensive and is located in the centre.	area
Hello. I want a cheap barbeque restaurant.	not
I am looking for a place to stay with free parking.	not
I'm looking for a place to stay in the north.	area
Can you help me find a corsica restaurant?	not
I am looking for a moderate priced restaurant	not
Hello, I'm looking for a place to stay on the north end. I'd like a place with free wifi.	area
I want a cheap restaurant in the west part of town. I need its address and phone number please	area
I am looking for a restaurant in the centre of town that serves kosher food.	area
I am looking for an Eastern restaurant, medium price	area
Hello, I am looking for a moderately priced restaurant that serves gastropub food.	not
Can you find me an italian restaurant in the centre?	area
I want a place that serves Swiss food.	not
I am looking for a place to dine. The restaurant should be in the cheap price range and should serve vietnamese food.	not
We would like to find a restaurant that is north of town.	area
I am hoping you might be able to help me find a place to stay last minute. I am on a bit of a budget so I need something moderate.	not
I'd like to find an Italian restaurant, on the west side.	area
i need info about cityroomz	not
Hey, is curry king still open?	not
Hi, I am planning a trip and could use some advice on a place to stay.	not
I need a place to stay in the west of town.	area
I am looking for an expensive place to dine that serves catalan food.	not
I'm looking for a restaurant that serves kosher food in the west side.	area
I am looking for Golden House restaurant.	not
Where can I get some British food that isn't too cheap or expensive?	not
i need a place to stay in Cambridge thats 4 star with free wifi	not
I need to find some caribbean food in south town.	area
Can you help me find a place to dine?	not
I am looking for a restaurant. The restaurant should be in the centre and should be in the moderate price range	area
Hi I am looking for a moderate priced place to stay that has free wifi.	not
Can you find me an expensive restaurant that serves steakhouse food?	not
I am looking for Cote restaurant.	not
I'm looking for an expensive restaurant in the west.	area
Can you help me find a restaurant? I want to find a place in the centre.	area
I need a hotel close to downtown Cambridge please.	not
I'm looking for a moderately priced hotel that offers free wifi. Do you have any of those?	not
I'm trying to find a moderately priced restaurant in the East part of town. Can you recommend one to me?	area
Hi I am looking for some info on the Worth House hotel.	not
Need a place to stay, free wifi. Needs to be a hotel.	not
Can you help me find a hotel to stay in that includes free wifi and has a 4 star rating? Thanks!	not
I am looking for a restaurant in the expensive price range that serves Belgian food.	not
im looking for a place that serves morden european food and with a cheap price range	not
I need a place to stay in the north in the moderate price range if you could help me.	area
I would like to book a hotel.	not
I'm looking for a restaurant that serves traditional european food, that's not too expensive or too cheap.	not
Could you help me find a 3 star hotel with free wifi in Cambridge?	not
I'd like to find an expensive restaurant in the centre.	area
Can you help me find an expensive restaurant that serves Chinese food to dine at? Thanks.	not
I'm looking for an austrian restaurant.	not
I need a guesthouse rental that has free parking.	not
I am looking for a particular hotel. Its name is called autumn house	not
I want a restaurant that is moderately priced and located in the south.	area
Hi, I want an expensive restaurant. East part of town please.	area
I am looking to eat moderate priced British food	not
I'm looking for a moderately priced Japanese restaurant.	not
Please I need a place to Stay in Cambridge and I have the express by holiday inn Cambridge in mind. Can you help book that for me?	not
i want to find an international restaurant	not
Find me an expensive restaurant that serves gastropub food	not
I'm looking for a Chinese restaurant.	not
I am needing to find a place to stay while traveling in Cambridge. I would like a guesthouse that is 4 stars.	not
Hello, can you recommend a moderately-priced hotel in the North part of town, please?	area
I'm looking for a restaurant. The restaurant should be in the centre and should be in the cheap price range.	area
I'm looking for a moderately priced restaurant in the center of town.	area
I'd like a jamaican restaurant please.	not
Hi, I'm looking for a European restaurant.	not
We want to find a restaurant that serves unusual food.	not
I would like a cheap restaurant in the west part of town	area
Which hotels in Cambridge offer free wifi for guests?	not
I am looking for a guesthouse with free parking.	not
Yes, I'm looking for a steakhouse restaurant in the expensive price range.	not
I'd like some information about the University Arms Hotel.	not
I want english food.	not
I'm looking for a restaurant, can you help?	not
I am looking for a cheap priced restaurant in the west part of town.	area
I want to find an expensive restaurant serving christmas food.	not
I need a place to stay in the expensive range.	not
Hey I'm looking for a hotel that has free parking, can you find one?	not
I'm looking for hungarian food in the Centre	area
I would like to find a very expensive indian restaurant, can you help me?	not
I'm looking for a place that offers free parking to it's guests. Got any hotels that offer that?	not
May have the name of a moderately priced restaurant in the south part of town?	area
I need to find a good vegetarian restaurant	not
I need a guesthouse with free wifi.	not
I am looking for an expensive Australian place.	not
I would like a moderately priced restaurant in the north part of town	area
I'm just looking for a place to sleep tonight in Cambridge.	not
I would like an inexpensive hotel on the west side of town.	area
I am looking for a restaurant in the center of town that serves European food.	area
Can you help me find an expensive restaurant in the centre area?	area
I would like an expensive restaurant in the south part of town	area
I need some info on a restaurant called royal spice.	not
I want to find a place to eat Chinese in the cheap price range.	not
I am looking for a hotel to stay at in Cambridge, at least a 4 star place please	not
Hello, I'm interested in booking a restaurant in cambridge!	not
i am looking for a place to stay. The hotel should have a star of 4 and should include free wifi.	not
Everyone keeps telling me I have to stay at Cityroomz when I visit next. Have you heard of it?	not
I would like an expensive restaurant in the south of town.	area
I'm looking for malaysian food.	not
I'd really like to get the number for the Yippee Noodle Bar restaurant if you please?	not
I need to find information on the Bloomsbury Restaurant.	not
I need a hotel to stay with a 3 star rating please.	not
Can you help me find a restaurant?	not
I'm looking for an expensive place to stay with free parking please.	not
I need to find a asian restaurant in Cambridge	not
I'm looking for a guesthouse with free parking, please.	not
I am looking for a restaurant called HK Fusion.	not
I am looking for a hotel near the mall. The hotel should has free indoor parking, even it doesn't include internet.	not
Hi, I'm looking for a hotel that was recommended. It's called the Cambridge Belfry?	not
I am looking for a place in the centre of town that serves Thai food.	area
i am looking for a restuarant in the expensive price range and should be in the centre	area
I would like a moderately priced restaurant in the west part of town	area
I'm looking for a restaurant, can you help?	not
Are there any cheap Indian restaurants around?	not
I'm planning my trip to Cambridge and am looking for a particular hotel.	not
I'd like a cheap restaurant in the east part of town.	area
I'm looking for a gastropub restaurant.	not
I am in the center are of Cambridge, are there any Japanese restaurants in that part of town?	area
Help! I am hungry and need a cheap restaurant in the centre.	area
I'm on the North side, please find me an expensive restaurant here	area
Need a certain restaurant called stazione restaurant and coffee bar.	not
There is a certain hotel I want to stay in, can you book that?	not
i need a place to stay	not
I am looking for a restaurant serving spanish food, please.	not
Would you be able to help me find a room that has free wifi?	not
Hi! Are there any European restaurants in the center of town?	area
Hi I need a hotel that is in the east. I don't need free parking.	area
I would like to book a table at a turkish place and is moderately priced.	not
I would like to stay in a hotel that is moderately priced and includes free parking. Can you help?	not
I was hoping to find an expensive restaurant in the south.	area
i need information of a hotel called allenbell.	not
I need a restaurant. I've heard Nandos recommended, could you give me more information about it?	not
I am excited to eat at some great restaurants during my visit. Can you help me find a guesthouse?	not
Find me a cheap vietnamese food place please.	not
I am looking for a place to stay. The hotel should be in the type of guesthouse and should be in the cheap price range	not
I'm looking for a hotel with free wifi.	not
I am looking for a hotel with free wifi for when I am visiting Cambridge.	not
I need a place to stay in the north that has free wifi.	area
I need a hotel in the lower price range that includes free parking.	not
I need a palce to stay that has free wifi but in the moderate price range.	not
Are there any cheap hotels (not guesthouses) in town?	not
I am looking for a cheap modern European restaurant. Can you help me?	not
Good morning, I need a place to stay that has free wifi and that is in the expensive price range. Can you please tell me what is available?	not
Can you help me find a hotel today?	not
I want to find a cheap restaurant serving hungarian food.	not
I am looking for a place to dine in the moderate price range and serves European food.	not
Can you please recommend an inexpensive restaurant in the South part of town?	area
I'm looking for a cheap restaurant in the east part of town.	area
I'm looking for a moderate priced place to stay with free parking please.	not
I am going to be visiting and would like a guesthouse.	not
I would like to find a restaurant in the expensive price range that is located in the city center.	area
Could you help me find a hotel on the south side of town?	area
Hi, I'd like to find out about the Hobsons House hotel.	not
Hello. Could you help me locate a good moderate restaurant in the south of the city?	area
Can you help me find a place to stay?	not
I am looking for the price range and address of the Meze Bar Restaurant	not
I need a place to stay with a star rating of 0.	not
I am looking for a french restaurant.	not
Can you find me a cheap Spanish restaurant?	not
I am looking for a restaurant that serves British food and in the east part of town.	area
I am looking for a vegetarian restaurant near South Cambridge, or a restaurant that has a variety of vegetarian dishes.	not
I'm looking for a hotel called a and b quest house.	not
I am looking for a restaurant that serves Japanese food. I don't care about the price range.	not
Can you help me find a moderately placed modern european restaurant?	not
I am looking to get some eritrean food in the west part of town.	area
Are there any expensive restaurants in the North?	area
I am looking for a hotel with free wifi.	not
I need a restaurant in the cheap price range that serves Portuguese food.	not
Can you help me find a hotel with free parking?	not
I'm looking for a hotel with a 4 star rating to stay at and I don't need to have internet. Can you help?	not
I am looking for a restaurant serving Spanish food.	not
I would like to find a guesthouse to stay in that's in the expensive price range. Can you help me?	not
I am looking for a place to dine that is in the expensive price range.	not
Hi! Are there any guesthouses in town that have free parking?	not
I would like a moderately priced restaurant in the north part of town	area
I am looking for a restaurant that serves british food in the west area. Can you locate one for me please?	area
Hello. I am coming into town and would like help finding a play to stay.	not
Is there anything cheap in the centre of town?	area
I am looking for a place to stay that is named aylesbray lodge guest house. Could you give me some information about it?	not
I want a restaurant on the west end of town.	area
I need a place to stay in the west part of the town? Some place with free wifi please.	area
I want to find a restaurant in the centre part of town and serves barbeque food. If not then how about modern european food?	area
I am looking for a place to stay. The hotel should have a star of 4 and should be in the type of guesthouse	not
Can you help me find the a and b guest house hotel?	not
I need a place to stay. What's available on the west side, with free wifi?	area
I want to find a cheap restaurant in the east part of town. What is the address and postcode?	area
Hi. I a looking for a cheap place to stay. What can you recommend for me?	not
Could you provide me with information about the Huntingdon Marriott hotel?	not
I'm looking for an expensive place to dine in the centre.	area
I want to book the el shaddai hotel.	not
I don't care about price range, find me an european food restaurant, please.	not
I am looking for a restaurant serving seafood, in the center of the town.	area
Do you have any information on a restaurant called the Golden Wok?	not
Hi, I'd like a 3 star hotel please. And also internet!	not
Could you help me find a restaurant with middle-eastern cuisine?	not
I am looking for a greek restaurant on the east side of town.	area
I'm looking for a moderately priced restaurant.	not
